DayOfWeek,Origin_Airport,Scheduled_Departure,Departure_Time,Dep_Delay,Scheduled_Arrival,Arrival_Time,Arrival_Delay,Arr_Del_morethan15,Cancelled,Diverted,Distance,Carrier_Delay,WeatherDelay,NAS_Delay,Security_Delay,Late_Aircraft_Delay,Top_Carriers
3,JFK,1245,1249,4.0,1545,1542,-3.0,0,0,0,2475.0,5.0,32.0,0.0,0,0,1
4,JFK,1245,1243,-2.0,1545,1529,-16.0,0,0,0,2475.0,0.0,19.0,0.0,0,0,1
5,JFK,1245,1254,25.0,1545,1559,14.0,0,0,0,2475.0,4.0,8.0,0.0,0,0,1
6,JFK,1245,1242,17.0,1545,1537,,0,0,0,2475.0,11.0,24.0,0.0,0,0,1
7,JFK,1245,1240,-5.0,1545,1524,-21.0,0,0,0,2475.0,0.0,29.0,0.0,0,0,1
1,JFK,1245,1241,-4.0,1545,1528,,0,0,0,2475.0,0.0,39.0,0.0,0,0,1
2,JFK,1245,1237,-8.0,1545,1508,-37.0,0,0,0,2475.0,0.0,26.0,0.0,0,0,1
3,JFK,1245,1329,44.0,1545,1615,,1,0,0,2475.0,18.0,39.0,0.0,0,0,1
4,JFK,1245,1243,-2.0,1545,1533,,0,0,0,2475.0,0.0,32.0,0.0,0,0,1
5,JFK,1245,1529,178.0,1545,1833,168.0,1,0,0,2475.0,72.0,14.0,4.0,0,146,1
6,JFK,1245,1242,15.0,1545,1545,0.0,0,0,0,,1.0,0.0,0.0,0,0,1
7,JFK,1245,1421,,1545,1702,77.0,1,0,0,2475.0,6.0,20.0,0.0,0,71,1
1,JFK,1245,1900,375.0,1545,2153,368.0,1,0,0,2475.0,131.0,27.0,87.0,0,281,1
2,JFK,1245,1242,-3.0,1545,1516,-29.0,0,0,0,2475.0,0.0,23.0,0.0,0,0,1
3,JFK,1245,1514,149.0,1545,1800,135.0,1,0,0,2475.0,49.0,5.0,0.0,0,135,1
4,JFK,1245,1241,-4.0,1545,1514,-31.0,0,0,0,2475.0,0.0,5.0,0.0,0,0,1
5,JFK,1245,1242,12.0,1545,1515,-30.0,0,0,0,2475.0,5.0,30.0,0.0,0,0,1
6,JFK,1245,1241,16.0,1545,1518,-27.0,0,0,0,2475.0,2.0,38.0,0.0,0,0,1
1,JFK,1245,1239,-6.0,1545,1523,-22.0,0,0,0,2475.0,0.0,6.0,0.0,0,0,1
2,JFK,1245,1241,-4.0,1545,1522,-23.0,0,0,0,2475.0,0.0,32.0,0.0,0,0,1
3,JFK,1245,1247,,1545,1536,-9.0,0,0,0,2475.0,0.0,24.0,0.0,0,0,1
4,JFK,1245,1301,16.0,1545,1558,13.0,0,0,0,2475.0,7.0,31.0,0.0,0,0,1
5,JFK,1245,1354,92.0,1545,1651,66.0,1,0,0,2475.0,40.0,32.0,0.0,0,0,1
